Start Date,Start Time,Date,Time,Miles,Purpose,Income source,From,To,Notes,Original_File
1/1/24,4:38:04 PM,1/1/24,4:45:29 PM,3,p,,"20019 6 W, Lynnwood, WA 98036, USA","1000 164th St SW, Lynnwood, WA 98087, USA",2013 Toyota Prius (New),business_personal_trip_log_01_01_2024_12_00am_PST-01_02_2024_12_00am_PST.csv
1/1/24,4:47:29 PM,1/1/24,5:11:18 PM,19.05,p,,"1331 164th St SW, Lynnwood, WA 98087, USA","10622 60th St NE, Lake Stevens, WA 98258, USA",2013 Toyota Prius (New),business_personal_trip_log_01_01_2024_12_00am_PST-01_02_2024_12_00am_PST.csv
1/1/24,10:02:15 PM,1/1/24,10:34:03 PM,23.1,p,,"10622 60th St NE, Lake Stevens, WA 98258, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_01_2024_12_00am_PST-01_02_2024_12_00am_PST.csv
1/2/24,5:00:58 PM,1/2/24,5:56:26 PM,33,p,,"20019 6 W, Lynnwood, WA 98036, USA","17801 International Blvd, Seatac, WA 98158, USA",2013 Toyota Prius (New),business_personal_trip_log_01_02_2024_12_00am_PST-01_03_2024_12_00am_PST.csv
1/2/24,6:01:49 PM,1/2/24,6:53:17 PM,34.11,p,,"17801 International Blvd, Seatac, WA 98158, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_02_2024_12_00am_PST-01_03_2024_12_00am_PST.csv
1/3/24,8:56:48 AM,1/3/24,9:12:37 AM,8,p,,"20019 6 W, Lynnwood, WA 98036, USA","10601 47th Pl W, Mukilteo, WA 98275, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,11:10:45 AM,1/3/24,11:20:33 AM,5.01,p,,"10601 47th Pl W, Mukilteo, WA 98275, USA","18133 33 W, Lynnwood, WA 98037, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,11:23:18 AM,1/3/24,11:34:07 AM,3.02,p,,"18133 33 W, Lynnwood, WA 98037, USA","20019 6 W, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,12:11:11 PM,1/3/24,12:18:02 PM,3,b,,"20019 6 W, Lynnwood, WA 98036, USA","19401 Alderwood Mall Pkwy, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,12:36:32 PM,1/3/24,12:43:25 PM,3.01,b,,"19401 Alderwood Mall Pkwy, Lynnwood, WA 98036, USA","1120 164th St SW, Lynnwood, WA 98087, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,12:45:30 PM,1/3/24,1:05:53 PM,7.93,b,,"1120 164th St SW, Lynnwood, WA 98087, USA","2620 228th St SW, Brier, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,1:27:38 PM,1/3/24,1:33:27 PM,2,b,,"2620 228th St SW, Brier, WA 98036, USA","23023 39th Ave W, Brier, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,1:35:47 PM,1/3/24,2:13:31 PM,9,b,,"23023 39th Ave W, Brier, WA 98036, USA","19401 Alderwood Mall Pkwy, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
1/3/24,2:23:48 PM,1/3/24,2:25:00 PM,0.02,b,,"19401 Alderwood Mall Pkwy, Lynnwood, WA 98036, USA","2608 196th St SW, Lynnwood, WA 98036, USA",2013 Toyota Prius (New),business_personal_trip_log_01_03_2024_12_00am_PST-01_04_2024_12_00am_PST.csv
