Start Date,Start Time,Date,Time,Miles,Purpose,Income source,From,To,Notes
6/6/25,8:41:15 AM,6/6/25,8:44:15 AM,0.73,p,,"20013 6 W, Lynnwood, WA 98036, USA","404 N Damson Rd, Lynnwood, WA 98036, USA",2021 Tesla Model 3
6/6/25,8:46:24 AM,6/6/25,9:01:50 AM,7.22,p,,"404 N Damson Rd, Lynnwood, WA 98036, USA","10601 47th Pl W, Mukilteo, WA 98275, USA",2021 Tesla Model 3
6/6/25,10:14:30 AM,6/6/25,10:31:21 AM,7.86,p,,"10601 47th Pl W, Mukilteo, WA 98275, USA","20019 6 W, Lynnwood, WA 98036, USA",2021 Tesla Model 3
6/6/25,10:45:26 AM,6/6/25,10:49:25 AM,0.93,p,,"20019 6 W, Lynnwood, WA 98036, USA","215 196th Pl SW, Bothell, WA 98012, USA",2021 Tesla Model 3
6/6/25,11:01:28 AM,6/6/25,11:04:59 AM,0.86,p,,"19618 2nd Pl W, Bothell, WA 98012, USA","20019 6 W, Lynnwood, WA 98036, USA",2021 Tesla Model 3
6/6/25,2:48:53 PM,6/6/25,3:28:25 PM,12.81,b,,"20012 6 W, Lynnwood, WA 98036, USA","21125 Highway 99, Lynnwood, WA 98036, USA",2021 Tesla Model 3
6/6/25,3:31:39 PM,6/6/25,4:45:47 PM,17.48,b,,"7407 212th St SW, Edmonds, WA 98026, USA","I-5, Mountlake Terrace, WA 98043, USA",2021 Tesla Model 3
6/6/25,4:53:52 PM,6/6/25,5:15:22 PM,6.79,b,,"I-5, Mountlake Terrace, WA 98043, USA","17955 Alderwood Mall Pkwy, Lynnwood, WA 98037, USA",2021 Tesla Model 3
6/6/25,5:17:34 PM,6/6/25,6:15:13 PM,14.41,b,,"17955 Alderwood Mall Pkwy, Lynnwood, WA 98037, USA","21900 Highway 99, Edmonds, WA 98026, USA",2021 Tesla Model 3
6/6/25,6:34:25 PM,6/6/25,6:51:42 PM,5.31,b,,"21920 Highway 99, Edmonds, WA 98026, USA","20019 6 W, Lynnwood, WA 98036, USA",2021 Tesla Model 3
